account_number,default_probability
100001,0.02947589384047792
100002,0.004253420335076881
100003,0.00418462116658903
100004,0.0032079153104506582
100005,0.024607691349510453
100006,0.3239831212042348
100007,0.00398183373178997
100008,0.003121497930373885
100009,0.036254820250926426
100010,0.017730556543826728
100011,0.016974988545787197
100012,0.059539062037151355
100013,0.010057505857442944
100014,0.0010455631037028495
100015,0.006993852030245521
100016,0.0010097287427357057
100017,0.06893737090318873
100018,0.0649162024636728
100019,0.009184953053476129
100020,0.009875886732396602
100021,0.011001079543335776
100022,0.010586681633973943
100023,0.014961927165832691
100024,0.013094844233612742
100025,0.01118808195888491
100026,0.010487889082936516
100027,0.01266098744549336
100028,0.013265175501853101
100029,0.0034652751159503655
100030,0.013802668202738538
100031,0.017587433674082387
100032,0.007043129599928991
100033,0.027048866660836987
100034,0.008900651337881987
100035,0.004503464691181183
100036,0.00729746036971558
100037,0.021174172212885596
100038,0.003483624669745714
100039,0.00637383200296187
100040,0.0026468046068464117
100041,0.042436273196228724
100042,0.005306619318958637
100043,0.012734890345524965
100044,0.02272783179958696
100045,0.011426890645615074
100046,0.0027679043994985665
100047,0.008131752565160546
100048,0.0018977891986653387
100049,0.0015247420207211296
100050,0.004935816813969327
100051,0.0017123060993747977
100052,0.008701108250778564
100053,0.03488465029607169
100054,0.00170496917093923
100055,0.007296555948974639
100056,0.00913553841510692
100057,0.025695193511128957
100058,0.0016626925784602887
100059,0.17122320097011162
100060,0.003546308069247059
100061,0.0067718074025521335
100062,0.006816776263234387
100063,0.002423299408270841
100064,0.06031679436541285
100065,0.007054137226542728
100066,0.0073628775258526265
100067,0.003617054399329323
100068,0.005998817772223591
100069,0.1361838661621006
100070,0.016555208707104283
100071,0.005326325933897079
100072,0.006315557177690418
100073,0.006830824756066361
100074,0.01276016487804887
100075,0.002031670468987698
100076,0.020594815131644063
100077,0.0008592596822943406
100078,0.006432757975866133
100079,0.005978177794377449
100080,0.002742866867071643
100081,0.0052890053066848575
100082,0.002838414374962632
100083,0.006144375274695161
100084,0.006042097281697153
100085,0.02026168463185591
100086,0.0008037209062965617
100087,0.012124896865172255
100088,0.004752843138704374
100089,0.0506009029098421
100090,0.016649516404781742
100091,0.1012527501877202
100092,0.03992699425410749
100093,0.02411475385626877
100094,0.011874569361403946
100095,0.03086411647409859
100096,0.001979848268759363
100097,0.017720489222647427
100098,0.024786663703182898
100099,0.1511137217790702
100100,0.04988909704281114
100101,0.012085281219255482
100102,0.005804382620664825
100103,0.005387306553337207
100104,0.0023350364886712107
100105,0.003863117110234653
100106,0.005453376456679969
100107,0.024478710110065582
100108,0.001866935481618088
100109,0.003156778918118471
100110,0.003834066062953924
100111,0.014310580239608845
100112,0.0032172719883773984
100113,0.0024832470692686204
100114,0.04460314371826706
100115,0.007577213886187005
100116,0.028342046306801646
100117,0.005019972694056832
100118,0.010102683985279047
100119,0.04087541321959393
100120,0.008238579817853642
100121,0.1438231378999505
100122,0.007739625433517382
100123,0.015473944145615566
100124,0.0015537499308475125
100125,0.027813797308928665
100126,0.002073024840721475
100127,0.0015035189214227837
100128,0.021714562586412245
100129,0.0035779158650994024
100130,0.013509833480164216
100131,0.0017496842762601003
100132,0.002475403377681859
100133,0.0033659710878246136
100134,0.0019926394490199038
100135,0.0021489230754948713
100136,0.05190340077514864
100137,0.03611147713331706
100138,0.016763980147276408
100139,0.002496949142449352
100140,0.007909203851465475
100141,0.0017585476101562028
100142,0.11957772625684687
100143,0.003719962884620493
100144,0.08353739169402821
100145,0.02434496170276776
100146,0.0040961014668080414
100147,0.06653563717661373
100148,0.005796030180665833
100149,0.008472789416283606
100150,0.03127352731634514
100151,0.04324370541874825
100152,0.0029219483058993845
100153,0.014024735868803598
100154,0.009091800173193896
100155,0.013399655563189807
100156,0.000733995173606628
100157,0.037438654725092044
100158,0.019268608766967
100159,0.05328409423638791
100160,0.0068820193722052845
100161,0.005397872744550567
100162,0.011106539070784422
100163,0.016491207521739246
100164,0.027366033855592126
100165,0.008643904367826468
100166,0.003104404430045265
100167,0.037356950293692764
100168,0.0029337002966182066
100169,0.00778302829189486
100170,0.10333220542098823
100171,0.016289216786582066
100172,0.002510114533174998
100173,0.04576785304755494
100174,0.030743248597277124
100175,0.02585449856022204
100176,0.002836595076919766
100177,0.010368369867677404
100178,0.013365172706497234
100179,0.005876085862392935
100180,0.006148729541859946
100181,0.008547691704050467
100182,0.010927517783646614
100183,0.00254231728900211
100184,0.04521823096100629
100185,0.009357410063469008
100186,0.003711892993515771
100187,0.03957985241496845
100188,0.3550634653607194
100189,0.017316932586428566
100190,0.007393285281158875
100191,0.002517143234775112
100192,0.0021636901754787064
100193,0.01730248541681996
100194,0.00198704020731368
100195,0.054222379433708265
100196,0.005511872275799287
100197,0.0006925655858302023
100198,0.04876287441803947
100199,0.003770288800567445
100200,0.017891558215147898
100201,0.05931375867746179
100202,0.031197763728316185
100203,0.017429070158831626
100204,0.011869135285629231
100205,0.013793443000818344
100206,0.007198463659999056
100207,0.011442686003704185
100208,0.002049184292386299
100209,0.003059778424368396
100210,0.04196849727299211
100211,0.10559084256376973
100212,0.00446223529303466
100213,0.00826462368576353
100214,0.012044642968308301
100215,0.0026934903740413597
100216,0.036320362333533834
100217,0.007087165428512896
100218,0.027073816206104755
100219,0.0035632426359022457
100220,0.016775580254701983
100221,0.03090339807001022
100222,0.001739195318064491
100223,0.22352326722209265
100224,0.002394504313036615
100225,0.0034954280813384933
100226,0.003994951495300977
100227,0.005643133433660717
100228,0.024617897354756495
100229,0.023094835856097767
100230,0.009547356686703748
100231,0.006987631333568356
100232,0.013328575579550623
100233,0.0032442477497645512
100234,0.0023768989014045392
100235,0.002458626287410953
100236,0.010656097098620856
100237,0.014222865116778706
100238,0.029050023203452062
100239,0.0014234590869825771
100240,0.009043464566009699
